Tumor_Sample_Barcode,Expr_level
TCGA-G3-A25X,TP53_low
TCGA-DD-AADA,TP53_low
TCGA-DD-AACD,TP53_high
TCGA-G3-AAV3,TP53_high
TCGA-G3-A3CH,TP53_low
TCGA-G3-A3CK,TP53_high
TCGA-5C-A9VG,TP53_high
TCGA-G3-A7M8,TP53_low
TCGA-DD-A4NR,TP53_high
TCGA-FV-A4ZP,TP53_high
TCGA-UB-AA0V,TP53_high
TCGA-DD-A116,TP53_low
TCGA-DD-A1EH,TP53_high
TCGA-CC-A9FS,TP53_high
TCGA-DD-A1EK,TP53_low
TCGA-CC-A3MA,TP53_high
TCGA-DD-A4NH,TP53_low
TCGA-PD-A5DF,TP53_low
TCGA-UB-A7MD,TP53_low
TCGA-BC-A69I,TP53_low
TCGA-FV-A2QR,TP53_low
TCGA-DD-AACC,TP53_high
TCGA-WX-AA47,TP53_high
TCGA-MI-A75I,TP53_low
TCGA-ED-A8O6,TP53_low
TCGA-CC-A1HT,TP53_high
TCGA-HP-A5MZ,TP53_high
TCGA-DD-A113,TP53_high
TCGA-DD-A3A8,TP53_low
TCGA-DD-AADP,TP53_high
TCGA-DD-A73G,TP53_high
TCGA-G3-A7M7,TP53_high
TCGA-CC-A5UE,TP53_high
TCGA-DD-AACX,TP53_low
TCGA-DD-AADD,TP53_high
TCGA-DD-A73F,TP53_low
TCGA-CC-A9FW,TP53_high
TCGA-BC-A10R,TP53_low
TCGA-ES-A2HT,TP53_low
TCGA-DD-A3A4,TP53_low
TCGA-WX-AA46,TP53_low
TCGA-DD-A1EE,TP53_high
TCGA-FV-A4ZQ,TP53_high
